Name,Date,Close,Volume,Market_Cap
Aeternity,"Jul 11, 2018",1.75,"6,136,150","413,581,000"
Aeternity,"Jul 10, 2018",1.76,"7,126,930","466,351,000"
Aeternity,"Jul 09, 2018",2.01,"7,326,140","494,309,000"
Aeternity,"Jul 08, 2018",2.13,"5,602,700","508,187,000"
Aeternity,"Jul 07, 2018",2.18,"5,760,560","502,534,000"
Aeternity,"Jul 06, 2018",2.16,"6,606,360","503,683,000"
Verge,"Jul 15, 2018",0.023052,"3,730,570","330,460,000"
Verge,"Jul 14, 2018",0.021951,"3,551,400","330,947,000"
Verge,"Jul 13, 2018",0.022005,"5,274,760","323,870,000"
Verge,"Jul 12, 2018",0.021428,"3,658,220","333,866,000"
Verge,"Jul 11, 2018",0.022228,"4,724,330","321,301,000"
Verge,"Jul 10, 2018",0.021774,"6,760,060","371,848,000"
Verge,"Jul 09, 2018",0.024688,"6,390,870","390,369,000"
Verge,"Jul 08, 2018",0.025643,"7,153,060","395,101,000"
Verge,"Jul 07, 2018",0.026220,"6,795,860","364,867,000"
Verge,"Jul 06, 2018",0.024351,"7,089,820","370,253,000"
Aeternity,"Jul 05, 2018",2.16,"8,318,730","567,027,000"
Aeternity,"Jul 04, 2018",2.41,"16,924,200","480,311,000"
Aeternity,"Jul 03, 2018",2.07,"12,572,500","495,243,000"
Aeternity,"Jul 02, 2018",2.13,"7,878,110","451,950,000"
Aeternity,"Jul 01, 2018",1.93,"6,716,010","461,928,000"
Aeternity,"Jun 30, 2018",1.98,"8,135,970","427,427,000"
Aeternity,"Jun 29, 2018",1.83,"4,996,920","394,452,000"
Aeternity,"Jun 28, 2018",1.70,"5,538,540","433,945,000"
Aeternity,"Jun 27, 2018",1.86,"5,326,250","424,135,000"
Aeternity,"Jun 26, 2018",1.82,"5,696,920","453,168,000"
Aeternity,"Jun 25, 2018",1.94,"7,712,770","420,869,000"
Aeternity,"Jun 24, 2018",1.82,"8,945,510","450,092,000"
Aeternity,"Jun 23, 2018",1.93,"7,124,730","479,195,000"
Aeternity,"Jun 22, 2018",2.05,"10,237,400","584,496,000"
Aeternity,"Jun 21, 2018",2.50,"6,584,990","601,435,000"
Aeternity,"Jun 20, 2018",2.59,"6,353,640","611,253,000"
Aeternity,"Jun 19, 2018",2.62,"8,045,220","619,689,000"
Aeternity,"Jun 18, 2018",2.66,"7,718,300","599,374,000"
Verge,"Jul 05, 2018",0.024613,"8,712,510","396,180,000"
Verge,"Jul 04, 2018",0.026187,"8,528,380","390,861,000"
Verge,"Jul 03, 2018",0.026004,"12,443,000","406,744,000"
Verge,"Jul 02, 2018",0.027018,"17,659,100","374,413,000"
Verge,"Jul 01, 2018",0.025142,"10,032,200","352,817,000"
Verge,"Jun 30, 2018",0.023423,"8,354,180","340,202,000"
Verge,"Jun 29, 2018",0.022557,"4,902,530","319,803,000"
Verge,"Jun 28, 2018",0.020991,"5,099,100","340,507,000"
Verge,"Jun 27, 2018",0.022765,"5,282,920","338,331,000"
Verge,"Jun 26, 2018",0.022614,"4,009,870","361,126,000"
Verge,"Jun 25, 2018",0.023864,"5,262,410","356,728,000"
Verge,"Jun 24, 2018",0.023767,"7,703,380","367,167,000"
Verge,"Jun 23, 2018",0.024439,"4,535,120","368,618,000"
Verge,"Jun 22, 2018",0.024493,"9,018,820","421,961,000"
Verge,"Jun 21, 2018",0.027995,"6,846,660","437,058,000"
Verge,"Jun 20, 2018",0.029093,"8,240,570","452,253,000"
Verge,"Jun 19, 2018",0.029955,"9,082,550","439,890,000"
Verge,"Jun 18, 2018",0.029234,"6,278,990","420,475,000"
Verge,"Jun 17, 2018",0.028109,"4,197,790","423,841,000"
Verge,"Jun 16, 2018",0.028047,"4,848,570","422,087,000"
Aeternity,"Jun 17, 2018",2.58,"6,170,950","608,360,000"
Aeternity,"Jun 16, 2018",2.60,"6,001,520","605,868,000"
Bitcoin Diamond,"Jul 15, 2018",2.10,"2,852,550","313,252,000"
Bitcoin Diamond,"Jul 14, 2018",2.04,"1,399,710","309,949,000"
Bitcoin Diamond,"Jul 13, 2018",1.99,"2,747,550","298,436,000"
Bitcoin Diamond,"Jul 12, 2018",1.93,"3,763,650","325,508,000"
Bitcoin Diamond,"Jul 11, 2018",2.12,"10,798,200","327,255,000"
Bitcoin Diamond,"Jul 10, 2018",2.15,"13,342,000","360,400,000"
Bitcoin Diamond,"Jul 09, 2018",2.35,"22,425,400","562,535,000"
Bitcoin Diamond,"Jul 08, 2018",3.64,"24,209,900","465,033,000"
Bitcoin Diamond,"Jul 07, 2018",3.03,"26,261,700","305,114,000"
Bitcoin Diamond,"Jul 06, 2018",1.98,"1,152,600","317,470,000"
Bitcoin Diamond,"Jul 05, 2018",2.07,"1,331,760","299,209,000"
Bitcoin Diamond,"Jul 04, 2018",1.95,"1,858,110","297,131,000"
