Name,Date,Close,Volume,Market_Cap
Siacoin,"Jul 13, 2018",0.010214,"7,651,190","360,109,000"
Siacoin,"Jul 12, 2018",0.010066,"8,461,140","380,771,000"
Siacoin,"Jul 11, 2018",0.010589,"11,500,200","374,440,000"
Siacoin,"Jul 10, 2018",0.010559,"21,045,000","401,566,000"
Siacoin,"Jul 09, 2018",0.011358,"20,613,400","385,865,000"
Bitcoin Gold,"Jun 19, 2018",33.23,"10,952,800","550,636,000"
Bitcoin Gold,"Jun 18, 2018",32.20,"14,186,100","546,869,000"
Bitcoin Gold,"Jun 17, 2018",31.96,"9,034,540","557,775,000"
Bitcoin Gold,"Jun 16, 2018",32.63,"10,215,900","552,314,000"
Bitcoin Gold,"Jun 15, 2018",32.42,"12,128,900","588,245,000"
Bitcoin Gold,"Jun 14, 2018",34.50,"14,021,800","557,542,000"
Bitcoin Gold,"Jun 13, 2018",32.74,"12,752,500","591,265,000"
Bitcoin Gold,"Jun 12, 2018",34.69,"14,100,300","634,965,000"
Bitcoin,"Jul 15, 2018",6359.64,"3,285,460,000","107,573,000,000"
Nano,"Jun 24, 2018",2.34,"8,399,310","336,203,000"
Nano,"Jun 23, 2018",2.53,"6,182,440","342,715,000"
Nano,"Jun 22, 2018",2.57,"8,838,080","389,258,000"
Nano,"Jun 21, 2018",2.91,"17,214,200","375,742,000"
Nano,"Jun 20, 2018",2.83,"6,861,110","370,606,000"
Nano,"Jun 19, 2018",2.78,"5,539,210","367,869,000"
Nano,"Jun 18, 2018",2.76,"6,779,120","357,301,000"
Nano,"Jun 17, 2018",2.69,"5,988,300","359,107,000"
Basic Attention Token,"Jul 15, 2018",0.317168,"8,434,180","317,590,000"
Lisk,"Jul 15, 2018",5.00,"5,564,670","530,825,000"
Siacoin,"Jul 08, 2018",0.010858,"8,143,650","389,040,000"
Siacoin,"Jul 07, 2018",0.011032,"10,790,500","380,585,000"
Siacoin,"Jul 06, 2018",0.010795,"13,089,400","377,520,000"
Siacoin,"Jul 05, 2018",0.010644,"9,984,060","389,825,000"
Siacoin,"Jul 04, 2018",0.011017,"11,486,000","391,053,000"
Bitcoin Gold,"Jun 11, 2018",37.21,"12,494,400","619,356,000"
Bitcoin Gold,"Jun 10, 2018",36.32,"18,470,500","743,737,000"
Bitcoin Gold,"Jun 09, 2018",43.33,"11,494,000","748,722,000"
Bitcoin Gold,"Jun 08, 2018",43.79,"14,026,800","767,604,000"
Bitcoin Gold,"Jun 07, 2018",44.98,"11,735,500","767,036,000"
Bitcoin Gold,"Jun 06, 2018",44.94,"13,529,300","779,206,000"
Bitcoin Gold,"Jun 05, 2018",45.68,"14,410,700","755,282,000"
Bitcoin Gold,"Jun 04, 2018",44.21,"17,414,900","798,558,000"
Bitcoin Gold,"Jun 03, 2018",46.49,"16,811,300","773,447,000"
Bitcoin Gold,"Jun 02, 2018",45.35,"13,231,300","747,222,000"
Bitcoin Gold,"Jun 01, 2018",43.90,"13,487,000","755,344,000"
Bitcoin,"Jul 14, 2018",6276.12,"2,923,670,000","107,130,000,000"
Bitcoin,"Jul 13, 2018",6238.05,"3,805,400,000","106,906,000,000"
Bitcoin,"Jul 12, 2018",6228.81,"3,770,170,000","109,667,000,000"
Nano,"Jun 16, 2018",2.69,"5,614,910","351,025,000"
Nano,"Jun 15, 2018",2.64,"8,273,820","394,555,000"
Nano,"Jun 14, 2018",2.96,"17,545,000","341,589,000"
Nano,"Jun 13, 2018",2.56,"13,458,400","366,600,000"
Nano,"Jun 12, 2018",2.77,"11,587,100","429,978,000"
Nano,"Jun 11, 2018",3.23,"8,807,050","420,791,000"
Nano,"Jun 10, 2018",3.16,"11,402,600","504,812,000"
Basic Attention Token,"Jul 14, 2018",0.318159,"15,608,800","334,512,000"
Basic Attention Token,"Jul 13, 2018",0.336022,"16,786,200","269,151,000"
Basic Attention Token,"Jul 12, 2018",0.268327,"4,768,230","268,646,000"
Basic Attention Token,"Jul 11, 2018",0.268652,"4,486,670","243,195,000"
Basic Attention Token,"Jul 10, 2018",0.242928,"2,751,840","262,173,000"
Basic Attention Token,"Jul 09, 2018",0.264901,"2,762,680","274,015,000"
Basic Attention Token,"Jul 08, 2018",0.274485,"2,346,660","269,778,000"
Basic Attention Token,"Jul 07, 2018",0.269085,"3,189,520","264,982,000"
Basic Attention Token,"Jul 06, 2018",0.262340,"4,473,600","241,166,000"
Basic Attention Token,"Jul 05, 2018",0.241339,"2,424,400","250,721,000"
Lisk,"Jul 14, 2018",4.91,"5,729,370","529,915,000"
Lisk,"Jul 13, 2018",4.93,"6,178,010","524,523,000"
Lisk,"Jul 12, 2018",4.87,"7,093,940","555,507,000"
Lisk,"Jul 11, 2018",5.13,"6,550,110","544,841,000"
Lisk,"Jul 10, 2018",5.05,"7,388,680","584,018,000"
Lisk,"Jul 09, 2018",5.42,"8,081,440","598,019,000"
Siacoin,"Jul 03, 2018",0.011047,"12,648,700","399,025,000"
Siacoin,"Jul 02, 2018",0.011285,"14,306,800","379,056,000"
Siacoin,"Jul 01, 2018",0.010669,"9,308,920","379,956,000"
Siacoin,"Jun 30, 2018",0.010736,"14,002,100","352,679,000"
Bitcoin Gold,"May 31, 2018",44.36,"16,443,900","717,878,000"
Bitcoin Gold,"May 30, 2018",42.35,"11,323,700","737,375,000"
